flight_date,flight_status,departure_airport,departure_timezone,arrival_airport,arrival_timezone,arrival_terminal,airline_name,flight_number,timestamp
2022-03-28,active,Soekarno-Hatta International,Asia-Jakarta,Sjamsudin Noor,Asia-Makassar,1,Lion Air,528,2022-03-27
2022-03-28,active,Soekarno-Hatta International,Asia-Jakarta,Sjamsudin Noor,Asia-Makassar,1,None,6176,2022-03-27
2022-03-28,active,Soekarno-Hatta International,Asia-Jakarta,Juanda,Asia-Jakarta,1,Lion Air,690,2022-03-27
2022-03-28,active,Soekarno-Hatta International,Asia-Jakarta,Juanda,Asia-Jakarta,1,None,6116,2022-03-27
2022-03-28,active,Soekarno-Hatta International,Asia-Jakarta,Ngurah Rai International,Asia-Makassar,D,Batik Air,6500,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Hyderabad Airport,Asia-Kolkata,MAIN,Air India,952,2022-03-27
2022-03-28,active,Kagoshima,Asia-Tokyo,Haneda Airport,Asia-Tokyo,1,Skymark Airlines,300,2022-03-27
2022-03-28,active,King Khaled International,Asia-Riyadh,Amausi,Asia-Kolkata,2,flynas,333,2022-03-27
2022-03-28,active,Christchurch International,Pacific-Auckland,Brisbane International,Australia-Brisbane,I,Air China LTD,5170,2022-03-27
2022-03-28,active,Haneda Airport,Asia-Tokyo,Fukuoka,Asia-Tokyo,D,American Airlines,7249,2022-03-27
2022-03-28,active,Haneda Airport,Asia-Tokyo,Fukuoka,Asia-Tokyo,D,Qatar Airways,6047,2022-03-27
2022-03-28,active,Haneda Airport,Asia-Tokyo,Fukuoka,Asia-Tokyo,D,Hawaiian Airlines,5138,2022-03-27
2022-03-28,active,Hangzhou,Asia-Shanghai,Shenzhen,Asia-Shanghai,T3,SF Airlines,7304,2022-03-27
2022-03-28,active,Darwin,Australia-Darwin,Alyangula,Australia-Darwin,None,Airnorth,404,2022-03-27
2022-03-28,active,Kansai International,Asia-Tokyo,Haneda Airport,Asia-Tokyo,2,ANA,94,2022-03-27
2022-03-28,active,Kansai International,Asia-Tokyo,Fukuoka,Asia-Tokyo,D,Peach Aviation,151,2022-03-27
2022-03-28,active,Kansai International,Asia-Tokyo,Haneda Airport,Asia-Tokyo,2,ANA,990,2022-03-27
2022-03-28,active,Kansai International,Asia-Tokyo,Haneda Airport,Asia-Tokyo,1,StarFlyer,20,2022-03-27
2022-03-28,active,Kansai International,Asia-Tokyo,Haneda Airport,Asia-Tokyo,1,ANA,3820,2022-03-27
2022-03-28,active,Kansai International,Asia-Tokyo,Chitose,Asia-Tokyo,D,Peach Aviation,101,2022-03-27
2022-03-28,active,Queenstown,Pacific-Auckland,Christchurch International,Pacific-Auckland,None,Air New Zealand,5644,2022-03-27
2022-03-28,active,Queenstown,Pacific-Auckland,Christchurch International,Pacific-Auckland,None,Etihad Airways,4580,2022-03-27
2022-03-28,active,Kansai International,Asia-Tokyo,Naha,Asia-Tokyo,D,Peach Aviation,211,2022-03-27
2022-03-28,active,Henri Coanda International,Europe-Bucharest,Cairo International Airport,Africa-Cairo,2,TAROM,101,2022-03-27
2022-03-28,active,Quaid-e-azam International,Asia-Karachi,Sharjah,Asia-Dubai,None,Air Arabia,547,2022-03-27
2022-03-28,active,Doha International,Asia-Qatar,Kisauni,Africa-Dar_es_Salaam,2,Qatar Airways,1351,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Novo Alexeyevka International,Asia-Tbilisi,3,Emirates,2202,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Zurich,Europe-Zurich,2,United Airlines,9731,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Zurich,Europe-Zurich,2,Air Canada,6799,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Heathrow,Europe-London,5,American Airlines,6416,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Heathrow,Europe-London,5,Iberia,7346,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Heathrow,Europe-London,5,Aer Lingus,8806,2022-03-27
2022-03-28,active,Dubai,Asia-Dubai,Schiphol,Europe-Amsterdam,1,Delta Air Lines,9385,2022-03-27
